scene_id,OID,lng,lat,date,image_path,filename,image_url
S0011,45187,106.476777,29.498818,202210,images/45187_106.476777_29.498818_202210.jpg,45187_106.476777_29.498818_202210.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/45187_106.476777_29.498818_202210.jpg
S0012,4344,106.532401,29.585036,201710,images/4344_106.532401_29.585036_201710.jpg,4344_106.532401_29.585036_201710.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/4344_106.532401_29.585036_201710.jpg
S0013,23534,106.577842,29.575278,201906,images/23534_106.577842_29.575278_201906.jpg,23534_106.577842_29.575278_201906.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/23534_106.577842_29.575278_201906.jpg
S0014,14827,106.476637,29.471898,202210,images/14827_106.476637_29.471898_202210.jpg,14827_106.476637_29.471898_202210.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/14827_106.476637_29.471898_202210.jpg
S0015,55311,106.482201,29.574231,201610,images/55311_106.482201_29.574231_201610.jpg,55311_106.482201_29.574231_201610.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/55311_106.482201_29.574231_201610.jpg
S0016,16422,106.552971,29.58397,201906,images/16422_106.552971_29.58397_201906.jpg,16422_106.552971_29.58397_201906.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/16422_106.552971_29.58397_201906.jpg
S0017,24424,106.476098,29.501404,202210,images/24424_106.476098_29.501404_202210.jpg,24424_106.476098_29.501404_202210.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/24424_106.476098_29.501404_202210.jpg
S0018,45049,106.452998,29.539109,202210,images/45049_106.452998_29.539109_202210.jpg,45049_106.452998_29.539109_202210.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/45049_106.452998_29.539109_202210.jpg
S0019,42100,106.49496,29.579252,201610,images/42100_106.49496_29.579252_201610.jpg,42100_106.49496_29.579252_201610.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/42100_106.49496_29.579252_201610.jpg
S0020,35236,106.565959,29.560005,202210,images/35236_106.565959_29.560005_202210.jpg,35236_106.565959_29.560005_202210.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/35236_106.565959_29.560005_202210.jpg
S0021,49664,106.48914,29.537008,202004,images/49664_106.48914_29.537008_202004.jpg,49664_106.48914_29.537008_202004.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/49664_106.48914_29.537008_202004.jpg
S0022,49056,106.515801,29.513712,201906,images/49056_106.515801_29.513712_201906.jpg,49056_106.515801_29.513712_201906.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/49056_106.515801_29.513712_201906.jpg
S0023,24431,106.467934,29.516123,201906,images/24431_106.467934_29.516123_201906.jpg,24431_106.467934_29.516123_201906.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/24431_106.467934_29.516123_201906.jpg
